#Frame           1-30
       1      98.0859
       2      99.5621
       3      98.1258
       4     100.7407
       5      93.3977
       6      98.0889
       7      97.5294
       8      95.9655
       9     100.0166
      10      98.9188
      11     100.4854
      12      95.6969
      13      98.8926
      14      97.6702
      15      98.9248
      16      97.7566
      17     101.7061
      18      96.2040
      19      96.2991
      20      97.0436
      21      99.4197
      22      99.9650
      23      98.6324
      24      95.4888
      25      94.0582
      26      98.1698
      27      99.5287
      28      97.6040
      29      96.0393
      30      98.0712
      31     101.3842
      32      97.0268
      33      94.5119
      34      98.7993
      35      96.0621
      36      93.8351
      37      95.2444
      38      94.4480
      39      95.0886
      40      91.0507
      41      88.8042
      42      89.1239
      43      87.8955
      44      90.2495
      45      91.4384
      46      88.1558
      47      87.4119
      48      88.8582
      49      90.6094
      50      82.2743
      51      84.8490
      52      89.9279
      53      91.6782
      54      86.1085
      55      88.1361
      56      86.2419
      57      87.3016
      58      87.6064
      59      86.2287
      60      80.3283
      61      92.3750
      62      86.9323
      63      93.1551
      64      95.9709
      65      93.8046
      66      96.7875
      67      95.1510
      68      99.6955
      69     101.2358
      70      96.7179
      71      94.1185
      72      98.0278
      73     100.0824
      74      96.6372
      75      94.2822
      76      95.7676
      77      99.2520
      78     100.1441
      79      97.0854
      80     102.4957
      81      92.4614
      82      93.8803
      83      97.3679
      84      94.8185
      85      97.0032
      86      95.8804
      87      97.9319
      88      99.5855
      89     100.8711
      90     104.2223
      91      98.0039
      92     100.1305
      93      97.2809
      94      97.2471
      95      97.1132
      96      96.7994
      97      97.8690
      98      95.9684
      99      97.7050
     100      98.6312
     101      98.4590
