#Frame            D-F
       1     187.9145
       2     188.9329
       3     190.1194
       4     188.1577
       5     183.8388
       6     185.6776
       7     187.9871
       8     185.9125
       9     181.7265
      10     186.4379
      11     185.7651
      12     181.4969
      13     180.4487
      14     183.8318
      15     184.1087
      16     183.8776
      17     183.1810
      18     184.2747
      19     185.6897
      20     187.2194
      21     186.0525
      22     177.8943
      23     182.4803
      24     181.6999
      25     184.8737
      26     179.5440
      27     182.2959
      28     180.7502
      29     183.2765
      30     182.1918
      31     182.8514
      32     181.8354
      33     184.6385
      34     181.8138
      35     178.5870
      36     182.7546
      37     182.8931
      38     182.8543
      39     182.8621
      40     179.8351
      41     178.8461
      42     180.7531
      43     179.2024
      44     178.9022
      45     178.4150
      46     176.8436
      47     179.3295
      48     177.4319
      49     176.9855
      50     176.0561
      51     172.8910
