#Frame            C-D
       1      92.1781
       2      91.7888
       3      93.7083
       4      90.4859
       5      92.4632
       6      94.2015
       7      92.6499
       8      92.5008
       9      94.1174
      10      92.3734
      11      91.9573
      12      89.2156
      13      94.5437
      14      93.3823
      15      92.1264
      16      91.8969
      17      93.0957
      18      91.8599
      19      91.2409
      20      89.4452
      21      91.0546
      22      93.0158
      23      90.1183
      24      89.7992
      25      86.8046
      26      85.8628
      27      85.0998
      28      91.3145
      29      90.0636
      30      91.1442
      31      87.5981
      32      88.8209
      33      88.1408
      34      90.5480
      35      91.0913
      36      91.4855
      37      91.6015
      38      90.7131
      39      90.4828
      40      90.7053
      41      91.7157
      42      93.5879
      43      93.7799
      44      93.0962
      45      93.0144
      46      91.8752
      47      90.9627
      48      88.5430
      49      89.3746
      50      92.5246
      51      89.5671
