#Frame            E-F
       1      77.4914
       2      78.5677
       3      79.0178
       4      78.2464
       5      79.0063
       6      80.3054
       7      80.5701
       8      79.8949
       9      73.5871
      10      74.0696
      11      74.8185
      12      71.8704
      13      72.3335
      14      72.1896
      15      72.0967
      16      75.9349
      17      75.4020
      18      77.0101
      19      77.9766
      20      76.9246
      21      78.6430
      22      76.1281
      23      75.2836
      24      73.8849
      25      76.0491
      26      72.6581
      27      72.8531
      28      72.9024
      29      75.7349
      30      76.4084
      31      73.5100
      32      73.5282
      33      76.1170
      34      73.9935
      35      73.8683
      36      76.6417
      37      76.2651
      38      73.0434
      39      73.2048
      40      73.5748
      41      73.7489
      42      77.8652
      43      75.4949
      44      74.9650
      45      75.6069
      46      74.9696
      47      78.3849
      48      77.6040
      49      75.9547
      50      78.1011
      51      78.0604
