#Frame           1-90
       1     213.0008
       2     211.9804
       3     220.7227
       4     226.5535
       5     228.6676
       6     225.1661
       7     224.8422
       8     222.7061
       9     222.0247
      10     221.6921
      11     224.5405
      12     229.3424
      13     230.6147
      14     230.6376
      15     230.0925
      16     231.9806
      17     236.4034
      18     234.9027
      19     238.3619
      20     238.4797
      21     237.3536
      22     238.9562
      23     240.3911
      24     239.5769
      25     234.0444
      26     230.6377
      27     228.1089
      28     225.8677
      29     231.0571
      30     225.7032
      31     229.2796
      32     232.4685
      33     236.2453
      34     234.1353
      35     241.5315
      36     235.2012
      37     233.5320
      38     239.1713
      39     240.0819
      40     240.4139
      41     238.7591
      42     240.5135
      43     244.4061
      44     251.1010
      45     246.6470
      46     250.5013
      47     247.0685
      48     247.5457
      49     247.4935
      50     250.5334
      51     243.8651
