 -19.548 -40.067 -48.150 -53.984 -72.971 -83.955-110.135 -57.297 -49.452 -68.754
 -48.310  27.209  84.728 113.360 116.849  91.487  63.378  63.885  41.339  17.693
  35.135  43.255  51.494  17.845  22.342   3.415 -21.360  23.309   8.412 -25.246
  10.687  28.730  50.648  41.705  10.872  26.545  11.254 -27.078 -60.758 -70.242
 -72.366 -67.565  13.458 -39.496 -27.581 -64.021 -68.869 -31.972 -41.459 -41.571
 -44.314  16.070  22.429 -18.766  24.985  61.653  35.942  33.856  64.002  58.297
  59.762  44.084  19.249  14.219  17.596  25.692  31.812   5.620  -2.983  12.272
  -8.296  31.852 -11.322 -25.443 -28.810 -23.942  18.219  29.033  34.121   4.086
 -40.609 -16.182  34.576  14.562 -37.439 -77.162 -29.392  13.890  -3.009  -8.107
 -22.857 -61.267 -47.830  44.095  28.944 -13.889 -15.949  12.849  48.602  30.475
  56.076
