   0.241   4.698   4.767   0.375  -2.176   3.002   6.267   1.222   1.368  -2.626
  -4.375   0.824  -5.066   3.013  -1.107   3.604  -2.741   1.849  -5.881  -7.642
   6.905  -1.724  -0.131  -2.782  -2.174  -0.424   0.369   7.057   7.199  -0.435
   4.183  -1.906  -0.481  -5.496  -1.310  -2.546  -2.294  -3.928  -1.496  -1.539
  -2.452  -3.383  -2.315  -0.913  -1.377   0.505   2.650  -3.780  -2.017   2.702
   2.169   0.111  -0.545  -4.780  -2.730  -2.312  -4.481   6.190   6.197   1.323
  -3.074   3.835   6.663   2.015   7.281   7.862   1.109   5.071   0.637  -0.508
   4.993   2.115   1.627  -3.845   0.592   0.203   4.073  -5.060   0.646   4.965
  -3.278   5.770   3.254   1.725   1.396  -1.255  -7.331   0.692  -1.467  -1.282
  -0.071  -2.775   1.045  -1.286  -1.707  -6.940  -1.159  -7.582  -5.413   0.045
  -3.744
