#Frame           1-30
       1      98.0859
       2      99.5621
       3      98.1258
       4     100.7407
       5      93.3977
       6      98.0889
       7      97.5294
       8      95.9655
       9     100.0249
      10      98.4580
      11     100.4876
      12      95.6642
      13      99.1463
      14      97.9219
      15      98.7991
      16      97.0761
      17     102.1658
      18      95.7299
      19      96.4454
      20      96.8587
      21      99.2186
      22      99.3228
      23      99.3374
      24      95.7248
      25      95.0296
      26      98.2287
      27      98.5594
      28      98.1490
      29      95.9681
      30      98.2955
      31     101.4832
      32      97.1725
      33      94.6574
      34      98.0869
      35      95.7670
      36      94.3962
      37      96.0852
      38      94.6113
      39      96.5012
      40      92.6933
      41      89.2849
      42      86.1554
      43      88.3152
      44      91.0294
      45      91.6557
      46      88.2828
      47      87.8235
      48      88.7901
      49      90.5583
      50      82.1269
      51      84.9433
      52      89.4607
      53      91.3665
      54      87.0400
      55      88.2426
      56      88.0853
      57      87.2489
      58      87.8362
      59      85.2224
      60      80.8549
      61      91.0954
      62      86.8490
      63      94.7780
      64      96.0428
      65      93.2441
      66      96.7526
      67      95.4805
      68      99.7639
      69     101.4396
      70      97.6530
      71      93.3137
      72      97.7580
      73     100.0126
      74      96.5453
      75      93.7833
      76      95.5470
      77      99.4162
      78     100.5127
      79      97.2041
      80     103.3560
      81      92.1869
      82      94.0179
      83      97.7770
      84      94.3606
      85      96.3619
      86      96.1741
      87      97.9816
      88      99.2301
      89     101.2642
      90     104.5563
      91      97.5931
      92     100.0117
      93      97.4310
      94      97.4131
      95      96.6413
      96      95.9865
      97      98.1229
      98      95.6529
      99      98.3907
     100      98.0622
     101      98.7422
