#Frame            F-C
       1     221.4156
       2     224.4390
       3     227.3859
       4     224.4549
       5     224.5093
       6     224.8245
       7     228.6132
       8     223.2468
       9     221.7550
      10     223.6977
      11     227.2573
      12     221.1062
      13     223.1433
      14     220.3573
      15     218.8215
      16     219.9927
      17     221.5767
      18     225.4544
      19     225.7002
      20     224.1186
      21     224.3022
      22     223.6216
      23     219.2536
      24     219.6862
      25     216.1326
      26     210.0491
      27     211.0094
      28     211.2629
      29     216.3186
      30     214.9565
      31     210.4548
      32     213.9843
      33     219.7348
      34     221.6815
      35     221.7608
      36     224.6257
      37     225.7478
      38     223.4838
      39     221.7351
      40     222.5112
      41     224.2697
      42     227.7009
      43     226.7115
      44     223.2382
      45     223.9917
      46     223.3888
      47     225.9996
      48     225.5579
      49     222.7652
      50     226.6679
      51     224.5405
