#Frame            D-E
       1     115.1252
       2     114.5548
       3     116.1264
       4     115.1791
       5     111.6299
       6     112.5938
       7     113.1389
       8     112.6852
       9     113.8472
      10     117.2580
      11     114.6342
      12     113.8433
      13     112.8019
      14     116.3558
      15     117.0482
      16     113.2283
      17     112.5699
      18     112.2019
      19     112.1610
      20     113.7412
      21     111.3980
      22     107.5659
      23     110.4476
      24     111.6729
      25     111.5360
      26     109.8967
      27     113.0642
      28     113.4418
      29     111.8130
      30     110.3916
      31     113.1379
      32     111.4174
      33     111.7440
      34     109.7650
      35     107.4229
      36     108.8306
      37     109.1299
      38     113.4925
      39     113.4489
      40     111.6970
      41     112.0815
      42     110.1523
      43     112.1970
      44     112.9346
      45     114.9066
      46     114.7965
      47     111.5782
      48     110.7147
      49     110.6205
      50     107.5020
      51     105.8537
