 -64.150 -79.857 -68.887 -51.339 -51.908 -38.015   2.009  -9.333 -18.958 -56.828
 -65.516 -61.421 -70.280 -62.019 -49.227  16.045 -29.542 -39.974  -1.911 -14.994
 -52.534 -77.140 -55.023 -32.140   4.742  21.549  -7.877 -21.750 -18.072 -58.093
 -65.276  -9.640  -0.648  30.906  42.965  64.891   5.753  24.696  39.149  49.174
  55.339 135.766 143.725 154.481  78.492  98.314 130.926 141.037 159.571 189.938
 166.136 140.019 148.701 179.509 171.543 121.508 121.866 154.535 160.329 182.109
 113.218 116.002  96.868  18.089  35.033  29.580   0.938   8.404 -57.470  13.470
   8.465 -35.970 -59.974 -49.660 -54.022 -89.854-123.406-115.862 -98.345-129.743
-136.025-103.953-124.280 -42.628 -23.713 -26.366 -26.692 -57.468 -71.775-104.444
-124.885-134.830 -82.114 -85.029 -29.068 -42.760 -55.385 -71.080 -44.607  -1.415
   3.441
