#Frame            E-C
       1     145.5184
       2     146.3885
       3     145.1721
       4     144.4773
       5     142.0402
       6     143.9588
       7     141.3570
       8     143.6365
       9     147.3033
      10     143.5316
      11     143.7445
      12     146.0120
      13     145.7544
      14     146.1583
      15     144.8529
      16     149.2031
      17     146.0854
      18     147.2237
      19     148.7849
      20     144.1723
      21     142.4564
      22     139.8281
      23     136.7135
      24     142.5878
      25     142.8824
      26     143.2121
      27     142.1238
      28     143.0926
      29     147.5038
      30     152.4067
      31     152.1478
      32     151.8011
      33     151.3769
      34     151.5731
      35     150.9921
      36     150.4453
      37     147.4665
      38     148.0961
      39     144.4869
      40     142.2071
      41     147.8661
      42     148.9052
      43     149.6670
      44     149.8398
      45     150.1248
      46     149.1513
      47     150.6470
      48     151.5093
      49     153.7522
      50     151.9270
      51     155.0096
