#Frame            F-C
       1     221.4156
       2     222.7632
       3     220.5640
       4     220.0173
       5     218.2859
       6     220.0179
       7     220.0774
       8     222.6742
       9     225.0920
      10     221.7098
      11     217.2554
      12     217.6609
      13     215.2754
      14     218.6922
      15     219.3862
      16     223.3004
      17     222.6679
      18     223.3140
      19     222.4040
      20     217.8249
      21     215.9909
      22     217.5566
      23     212.7239
      24     215.2154
      25     214.7600
      26     212.8030
      27     213.4494
      28     212.0836
      29     211.4248
      30     215.7750
      31     218.5444
      32     219.5654
      33     219.7726
      34     217.3888
      35     221.0295
      36     218.7441
      37     213.1983
      38     210.3222
      39     211.9124
      40     207.5499
      41     211.8300
      42     211.8522
      43     213.0856
      44     215.0530
      45     212.9963
      46     213.7237
      47     214.9483
      48     216.0375
      49     218.4395
      50     214.9533
      51     222.4254
