#Frame            C-D
       1      92.1781
       2      90.8281
       3      91.0721
       4      90.4323
       5      90.2034
       6      90.3641
       7      90.0169
       8      95.1516
       9      92.8463
      10      93.9232
      11      91.0393
      12      90.6683
      13      91.0567
      14      90.3608
      15      90.8043
      16      90.8308
      17      93.8194
      18      91.6936
      19      93.8989
      20      92.9595
      21      91.4749
      22      90.1512
      23      88.2455
      24      90.0640
      25      92.4500
      26      90.6389
      27      93.4114
      28      92.2611
      29      93.5095
      30      90.5855
      31      92.2304
      32      90.5889
      33      94.1704
      34      94.6851
      35      93.8228
      36      93.9653
      37      92.9526
      38      92.1103
      39      89.6830
      40      89.2373
      41      87.9414
      42      90.0945
      43      90.2258
      44      91.5474
      45      92.0372
      46      92.3863
      47      91.5932
      48      92.2220
      49      92.6443
      50      89.1419
      51      88.3725
