#Frame           1-90
       1     213.3455
       2     217.5014
       3     223.5129
       4     224.8622
       5     227.9813
       6     227.4127
       7     228.5170
       8     230.6481
       9     232.1424
      10     233.0006
      11     232.0302
      12     229.7278
      13     235.0683
      14     232.1049
      15     233.0545
      16     229.4421
      17     228.8805
      18     220.7684
      19     226.2397
      20     226.1911
      21     223.8144
      22     221.9947
      23     225.0326
      24     226.0753
      25     225.3800
      26     222.8043
      27     225.5790
      28     229.3490
      29     228.6355
      30     229.6017
      31     234.3465
      32     235.0255
      33     234.3904
      34     232.0456
      35     234.7360
      36     232.5406
      37     233.4317
      38     236.8347
      39     234.7677
      40     242.1736
      41     241.6138
      42     242.7760
      43     244.4628
      44     244.8019
      45     241.2655
      46     242.8234
      47     241.6898
      48     241.7038
      49     240.5722
      50     241.7333
      51     242.5717
