  -4.711  -9.446 -10.697 -12.037 -15.427 -17.939 -24.065 -11.989 -11.138 -15.335
  -9.859   6.479  19.571  26.191  26.533  20.204  14.109  13.450   8.339   3.559
   8.051  11.177  11.552   3.389   4.422   0.183  -5.426   5.706   2.988  -5.069
   2.841   8.526  13.135  11.351   3.880   8.076   3.924  -5.435 -12.733 -15.702
 -16.202 -15.112   2.166  -8.889  -6.438 -13.742 -14.795  -7.309  -7.371  -6.566
  -7.185   5.188   6.308  -3.267   4.593  11.953   6.752   4.714  11.749  10.332
  11.659   9.208   3.989   1.814   2.438   4.572   6.874   1.007  -0.119   3.056
  -2.108   7.356  -2.657  -6.060  -6.777  -6.145   3.251   6.100   6.812   1.442
  -8.216  -3.740   8.926   3.839  -8.406 -17.287  -6.764   3.468  -0.780  -1.219
  -3.932 -11.878 -10.138   9.531   6.912  -3.316  -3.785   2.751  10.119   6.480
  11.150
