   1.751  -2.972  -2.748   1.091  -0.658   0.635   0.452  -0.973   2.909  -3.350
  -0.060   1.846  -3.109  -0.233   1.894  -3.923  -3.153  -2.318  -0.407   5.244
   2.762   2.687   1.134   0.011  -3.347   0.793  -1.493   3.660  -0.806  -0.459
  -0.831   1.210  -7.487   2.741  -1.012  -3.811   0.249  -1.880  -2.463   1.693
   0.886  -1.214  -0.761   1.797  -1.890   0.236   5.788   0.733  -1.193   0.286
  -1.884  -0.782  -1.086  -1.293  -3.637  -0.315  -0.577   0.115   3.416   2.937
   0.320   3.211  -1.853   2.496   0.600  -0.137  -0.430  -0.661  -1.267   1.482
   1.825  -0.087   4.447  -4.931  -1.282   2.502   0.062   4.940  -0.507  -0.291
  -3.074  -3.205  -3.525   0.814  -2.274  -0.168   2.245   3.061   1.289   1.624
   3.074   3.750  -6.012  -0.038   1.526  -0.990  -0.453   1.512   1.095  -2.191
   1.185
