   0.672  -0.457   3.436  -0.869   0.927  -0.873  -5.196   2.851   0.673  -3.219
   1.116   3.945  -3.603  -0.236   1.865  -3.640  -2.291   1.177   0.485   0.201
  -1.796  -1.811   0.594   2.202   1.263  -4.310  -0.676   3.638   4.215  -1.253
  -0.729   2.900  -0.519   1.860   3.174   4.391  -1.880   1.042   3.236  -0.126
   1.547   2.362   1.831  -0.450   2.405  -0.628  -1.903   1.241   1.714   4.118
  -1.457  -2.333  -1.492  -4.656  -4.032   1.620   0.422  -0.374   0.199  -2.376
  -0.928  -1.487  -1.511  -1.114   4.119  -0.073   0.117  -1.843  -1.224   0.653
  -0.439   0.862  -1.008   1.326   0.695   2.293  -2.320   0.729   2.787  -5.525
   3.414   2.961  -0.447   4.546  -1.908  -0.770  -1.010   1.218  -1.621  -4.374
  -0.893  -2.205  -2.171  -2.175  -0.953  -3.695   2.147   1.311   2.313   1.151
  -2.557
