  -1.286  -0.673  -3.738   0.644  -0.721   1.213   5.872  -3.171  -0.476   2.293
   0.105  -3.530   2.692  -0.072  -2.023   2.078   1.901  -0.885   0.212   0.392
   1.215   1.698  -1.188  -2.917  -0.218   2.558   0.464  -3.682  -3.936   1.482
   1.573  -1.846   0.168  -1.849  -1.844  -4.397   2.593  -1.476  -2.788   0.675
  -0.862  -3.493  -2.019   0.359  -2.705   0.157   2.511  -1.090  -1.425  -4.351
   0.755   1.966   0.797   4.779   2.870  -1.946   0.476  -0.421   0.362   2.144
   1.272   1.798   2.259   1.788  -3.516   1.259   0.464   0.703   0.786  -0.713
   1.537  -0.313   2.457  -2.045  -1.187  -1.166   2.071  -0.204  -3.046   4.843
  -4.561  -3.068   0.593  -4.572   0.832   0.986   0.266  -0.577   1.115   5.189
   1.662   2.374   1.830   1.253   0.010   3.591  -2.551  -1.133  -2.848  -0.248
   3.134
