#Frame           1-90
       1     213.3455
       2     210.7262
       3     209.4066
       4     214.7821
       5     218.5512
       6     221.1824
       7     225.1542
       8     221.5825
       9     223.3439
      10     220.1624
      11     220.4267
      12     222.3118
      13     225.5377
      14     230.7004
      15     234.5128
      16     227.6218
      17     226.0775
      18     229.8876
      19     225.2734
      20     222.7435
      21     231.3821
      22     236.7552
      23     237.1752
      24     236.4853
      25     235.8419
      26     230.5772
      27     236.5424
      28     230.9968
      29     228.6221
      30     229.6297
      31     226.5936
      32     228.7122
      33     225.1080
      34     223.5705
      35     218.2475
      36     219.8618
      37     221.0493
      38     219.6089
      39     212.9152
      40     217.5949
      41     213.6549
      42     214.8092
      43     213.8409
      44     217.5569
      45     217.0800
      46     221.2849
      47     219.4261
      48     217.3372
      49     222.3708
      50     222.8318
      51     226.3778
