#Frame            F-D
       1     187.9145
       2     188.9374
       3     185.5557
       4     184.7835
       5     184.0358
       6     185.7877
       7     185.0934
       8     187.6766
       9     186.8505
      10     184.8859
      11     184.2209
      12     184.4040
      13     185.1096
      14     181.9729
      15     182.8254
      16     184.1184
      17     182.3524
      18     183.3230
      19     183.2389
      20     182.1820
      21     182.4398
      22     183.4073
      23     182.2537
      24     178.4841
      25     180.5198
      26     179.4368
      27     179.4231
      28     179.8253
      29     174.4158
      30     177.3064
      31     180.5819
      32     180.1562
      33     181.2008
      34     180.1979
      35     183.4470
      36     183.3055
      37     180.3684
      38     179.7197
      39     181.2227
      40     177.0962
      41     181.5507
      42     175.6327
      43     178.2152
      44     176.9192
      45     175.3231
      46     177.6213
      47     179.2846
      48     179.2372
      49     181.1135
      50     178.0164
      51     177.2894
