#Frame            F-E
       1      77.4914
       2      77.9020
       3      76.7132
       4      76.7927
       5      77.2162
       6      77.5529
       7      80.9095
       8      81.2539
       9      78.9537
      10      80.3385
      11      76.0151
      12      74.5080
      13      72.2307
      14      74.5528
      15      76.4529
      16      75.7471
      17      78.4189
      18      78.3344
      19      76.5006
      20      78.0152
      21      77.2876
      22      80.6336
      23      80.9234
      24      77.4438
      25      77.6828
      26      74.8006
      27      77.3278
      28      77.7417
      29      75.9766
      30      77.9253
      31      78.7902
      32      77.9808
      33      78.9596
      34      76.4655
      35      80.9076
      36      80.2722
      37      76.5326
      38      74.4583
      39      78.1413
      40      74.2919
      41      74.0208
      42      70.9268
      43      73.4188
      44      75.1145
      45      73.9703
      46      74.8981
      47      76.4403
      48      79.3648
      49      79.2516
      50      77.9855
      51      76.9330
