#Frame            E-D
       1     115.1252
       2     115.2071
       3     114.3908
       4     112.6520
       5     114.0150
       6     115.8184
       7     112.5869
       8     114.9813
       9     118.0410
      10     113.4190
      11     114.9465
      12     115.8953
      13     117.5130
      14     112.6627
      15     112.2023
      16     113.5174
      17     109.4691
      18     109.3290
      19     111.1359
      20     108.0303
      21     110.1703
      22     108.3397
      23     107.4570
      24     107.9685
      25     110.2012
      26     111.5229
      27     109.3518
      28     109.6426
      29     109.6959
      30     112.3778
      31     112.8931
      32     110.3491
      33     110.9266
      34     112.6220
      35     109.8485
      36     111.0736
      37     111.7878
      38     113.2023
      39     109.8457
      40     110.4404
      41     114.8380
      42     111.9712
      43     112.3620
      44     111.2890
      45     114.2660
      46     115.4502
      47     115.3959
      48     114.5886
      49     115.2195
      50     113.6337
      51     110.6721
