#Frame           1-90
       1     213.0007
       2     214.1876
       3     219.2176
       4     220.0821
       5     224.8993
       6     225.9518
       7     224.6212
       8     226.0042
       9     229.4610
      10     231.3608
      11     235.0530
      12     231.4566
      13     229.4068
      14     236.0422
      15     232.2333
      16     237.7106
      17     233.5493
      18     239.9197
      19     239.3882
      20     239.4688
      21     240.9801
      22     240.1094
      23     241.6656
      24     246.7721
      25     250.1412
      26     252.8637
      27     253.6997
      28     255.1285
      29     259.2549
      30     259.3786
      31     257.7057
      32     258.5133
      33     259.2036
      34     253.8935
      35     256.4597
      36     256.2624
      37     257.7234
      38     261.6875
      39     252.1467
      40     251.6648
      41     252.7113
      42     243.7970
      43     247.6149
      44     247.9582
      45     250.8476
      46     251.9323
      47     251.2821
      48     251.7491
      49     250.2017
      50     257.0078
      51     258.1820
