  63.388  80.144  69.266  51.367  53.145  39.611   0.838  11.262  19.562  57.935
  64.416  57.270  66.632  61.529  48.083 -17.678  26.504  37.802  -1.466  12.938
  51.540  76.426  56.041  36.743   0.783 -18.208   8.807  19.370  18.138  60.299
  67.802  11.109  -1.223 -30.888 -42.200 -61.930  -3.803 -23.449 -36.525 -48.855
 -55.614-135.544-144.123-154.351 -78.564 -97.183-129.791-140.737-161.050-192.570
-168.608-141.775-152.106-182.758-173.289-126.069-123.556-158.847-165.628-187.319
-116.907-118.307-100.569 -20.957 -34.736 -31.770  -2.114  -7.347  57.192 -13.347
 -10.969  32.488  57.482  47.619  50.651  89.041 123.046 118.043 100.719 128.904
 136.253 105.515 125.094  45.008  24.857  28.254  30.901  59.577  74.653 104.463
 129.044 142.049  88.331  89.526  34.663  46.747  58.035  73.619  46.478   1.562
  -0.979
