 -19.846 -39.965 -47.410 -54.782 -71.900 -81.526-108.895 -52.176 -49.260 -70.158
 -47.452  26.731  87.266 115.670 119.130  93.647  63.788  62.413  38.951  17.922
  36.994  49.621  53.059  16.462  19.779   0.619 -24.660  25.751  13.576 -22.332
  12.316  36.899  60.200  51.612  18.814  36.903  17.808 -24.045 -57.159 -71.221
 -73.617 -69.239   9.797 -42.022 -28.491 -64.291 -68.527 -33.720 -34.973 -32.502
 -33.904  22.720  28.275 -16.814  20.078  54.568  31.700  20.846  51.474  47.426
  52.759  41.537  16.565   8.301  10.859  18.160  29.296   4.648  -0.380  12.939
  -9.991  29.996 -14.706 -27.735 -31.825 -28.865  11.732  26.900  30.560   4.487
 -40.591 -19.804  36.175  15.755 -38.565 -77.838 -30.452  15.140  -2.906  -6.398
 -19.090 -54.999 -47.023  42.435  30.511 -17.711 -19.617  10.324  46.356  28.579
  50.945
