  -3.070   3.148  -1.164  -0.952   2.660   1.009  -4.278   1.621  -0.838   0.251
  -2.174  -4.202  -6.386  -0.665   3.371   4.818  -2.936   6.781   0.696   0.438
   1.211   3.803  -0.704   3.201   5.635  -0.929  -4.448   0.216  -0.293   0.740
   1.675  -4.899   2.848  -2.750   0.862  -4.367   2.584   4.971  -0.166  -3.927
   2.833   2.615  -3.868  -4.577   3.446   6.782   1.554   2.998  -5.345  -0.645
  -3.754   4.337  -1.407  -2.306   5.049  -1.932  -0.549  -2.875  -2.965   7.616
   4.161  -0.092  -3.779  -2.505  -4.243  -0.384  -3.531   2.029  -5.670  -1.146
   0.857  -4.017   0.116  -0.553   5.001   0.981  -0.540   1.032  -3.510  -3.096
   5.229   1.182  -4.277  -0.924   3.623  -1.076  -1.969   3.537   2.812   0.928
   1.210  -1.786  -2.032   1.829  -1.697   1.319  -0.837  -0.209  -0.601  -0.653
   0.491
